項目名,道路形状,,,,,,,
適用,本票,,,,,,,
説明,交通事故が発生した道路の形状をいう。,,,,,,,
,,,,,,,,
コード,区分,備考,,,,,,
31,交差点－環状交差点,車両の通行の用に供する部分が環状の交差点であって、道路標識等により車両がその部分を右回りに通行すべきことが指定されているものをいう。,,,,,,
,,,,,,,,
,,,,,,,,
,,範囲は、横断歩道等（自転車横断帯を含む。）が設けられている場合には横断歩道等を含み、横断歩道のない場合には始端結合説によるものとする。,,,,,,
,,,,,,,,
,,,,,,,,
01,交差点－その他,環状交差点以外の交差点をいう。,,,,,,
,,範囲は、横断歩道等（自転車横断帯を含む。）が設けられている場合には横断歩道等を含み、横断歩道のない場合には始端垂直説によるものとする。ただし、外側線が直線に引かれている場合は単路とする。,,,,,,
,,,,,,,,
,,,,,,,,
37,交差点付近－環状交差点付近,環状交差点の側端から30メートル以内の道路の部分をいう。,,,,,,
07,交差点付近－その他,環状交差点以外の交差点の側端から30メートル以内の道路の部分をいう。,,,,,,
,,,,,,,,
11,単路－トンネル,トンネル（ガード下等の道路の部分は含まない。）をいう。,,,,,,
12,単路－橋,橋（陸橋及び跨線橋を含む。）をいう。,,,,,,
13,単路－カーブ・屈折,上記以外のカーブ・屈折部分をいう。,,,,,,
14,単路－その他,上記以外の単路の部分をいう。,,,,,,
21,踏切－第一種,常時踏切警手が遮断機を操作している又は自動遮断機が設置されている踏切をいう。,,,,,,
,,,,,,,,
22,踏切－第三種,警報機のみが設置されている踏切をいう。,,,,,,
23,踏切－第四種,踏切警手がおらず、遮断機も警報機も設置されていない踏切をいう。,,,,,,
00,一般交通の場所,上記以外の道路で、不特定多数の人や車両が自由に通行できる場所として供され、現に不特定多数の人や車両が自由に通行している場所をいう。,,,,,,
,,,,,,,,
,,,,,,,,
