項目名,一時停止規制　標識,,,,,,,,
適用,本票,,,,,,,,
説明,交通事故が交差点内で発生した場合、当該車両等の交差点進入箇所にある一時停止規制（公安委員会規制）をいう。,,,,,,,,
,,,,,,,,,
,「標準」とは、本板の寸法が道路標識、区画線及び道路標示に関する命令（昭和35年総理府・建設省令第３号。以下「標識令」という。）別表第二に規定する寸法（一辺が80センチメートル。）である標識をいう。,,,,,,,,
,,,,,,,,,
,「拡大」とは、本板の寸法が標識令別表第二備考一の（二）の９の規定等により拡大（拡大率1.5～２倍）された寸法のものをいう。,,,,,,,,
,,,,,,,,,
,,,,,,,,,
コード,区分,備考,,,,,,,
01,標準－反射式,標準の標識で反射シールが貼付されているものをいう。,,,,,,,
02,標準－自発光式,標準の標識で標識外部の夜間照明装置が施されているものをいう。,,,,,,,
03,標準－内部照明式,標準の標識で標識内部の夜間照明装置が施されているものをいう。,,,,,,,
04,拡大－反射式,拡大の標識で反射シールが貼付されているものをいう。,,,,,,,
05,拡大－自発光式,拡大の標識で標識外部の夜間照明装置が施されているものをいう。,,,,,,,
06,拡大－内部照明式,拡大の標識で標識内部の夜間照明装置が施されているものをいう。,,,,,,,
07,縮小,本板の寸法が標識令別表第二備考一の（二）の９の規定等により縮小（縮小率２／３倍）された寸法のものをいう。,,,,,,,
,,,,,,,,,
08,その他,前記標識のいずれにも該当しない標識をいう。,,,,,,,
09,規制なし,当該車両等の交差点進入箇所に一時停止規制が行われていないものをいう。,,,,,,,
00,対象外当事者,当事者が車両等以外、発生場所が交差点内以外及び当事者が不明の場合をいう。,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
