項目名,速度規制（指定のみ）,,,,,,,,
適用,本票,,,,,,,,
説明,交通事故の当事者種別が原付以上の車両の場合、公安委員会又は警察署長が道路交通法第４条第１項前段又は同法第５条第１項に基づき、道路標識等により指定した最高速度をいう。,,,,,,,,
,,,,,,,,,
,,,,,,,,,
コード,区分,備考,,,,,,,
01,20㎞／ｈ以下,最高速度が20㎞／ｈ以下の速度規制をいう。,,,,,,,
02,30㎞／ｈ以下,最高速度が21～30㎞／ｈの速度規制をいう。,,,,,,,
03,40㎞／ｈ以下,最高速度が31～40㎞／ｈの速度規制をいう。,,,,,,,
04,50㎞／ｈ以下,最高速度が41～50㎞／ｈの速度規制をいう。,,,,,,,
05,60㎞／ｈ以下,最高速度が51～60㎞／ｈの速度規制をいう。,,,,,,,
06,70㎞／ｈ以下,最高速度が61～70㎞／ｈの速度規制をいう。,,,,,,,
07,80㎞／ｈ以下,最高速度が71～80㎞／ｈの速度規制をいう。,,,,,,,
08,100㎞/h以下,最高速度が81～100㎞／ｈの速度規制をいう。,,,,,,,
09,100㎞/h超過,最高速度が100㎞/h超過の速度規制をいう。,,,,,,,
10,指定の速度規制なし等,全く速度規制がなされていない場合及び当該車両の最高速度が指定されていないものをいう。,,,,,,,
,,,,,,,,,
00,対象外当事者,当事者種別が「乗用車」、「貨物車」、「特殊車」、「二輪車」以外のものをいう。,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
