code,value,description
00,無-無,
01,無-前,
02,無-右,
03,無-後,
04,無-左,
05,無-右前,
06,無-右後,
07,無-左後,
08,無-左前,
10,前-無,
11,前-前,
12,前-右,
13,前-後,
14,前-左,
15,前-右前,
16,前-右後,
17,前-左後,
18,前-左前,
20,右-無,
21,右-前,
22,右-右,
23,右-後,
24,右-左,
25,右-右前,
26,右-右後,
27,右-左後,
28,右-左前,
30,後-無,
31,後-前,
32,後-右,
33,後-後,
34,後-左,
35,後-右前,
36,後-右後,
37,後-左後,
38,後-左前,
40,左-無,
41,左-前,
42,左-右,
43,左-後,
44,左-左,
45,左-右前,
46,左-右後,
47,左-左後,
48,左-左前,
50,右前-無,
51,右前-前,
52,右前-右,
53,右前-後,
54,右前-左,
55,右前-右前,
56,右前-右後,
57,右前-左後,
58,右前-左前,
60,右後-無,
61,右後-前,
62,右後-右,
63,右後-後,
64,右後-左,
65,右後-右前,
66,右後-右後,
67,右後-左後,
68,右後-左前,
70,左後-無,
71,左後-前,
72,左後-右,
73,左後-後,
74,左後-左,
75,左後-右前,
76,左後-右後,
77,左後-左後,
78,左後-左前,
80,左前-無,
81,左前-前,
82,左前-右,
83,左前-後,
84,左前-左,
85,左前-右前,
86,左前-右後,
87,左前-左後,
88,左前-左前,
